,Sample_0,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30,Sample_31,Sample_32,Sample_33,Sample_34,Sample_35,Sample_36,Sample_37,Sample_38,Sample_39,Sample_40,Sample_41,Sample_42,Sample_43,Sample_44,Sample_45,Sample_46,Sample_47,Sample_48,Sample_49
Gene_384,10,7,3,11,9,4,11,9,13,9,14,11,6,13,7,10,17,10,3,12,11,9,10,5,10,9,8,14,7,6,7,12,13,8,8,12,13,11,11,7,10,15,12,6,8,12,4,5,10,6
Gene_385,9,9,9,11,10,11,10,10,6,9,7,10,6,10,7,6,10,14,6,18,16,8,8,10,12,10,8,12,15,10,12,13,16,10,13,7,12,9,13,11,17,12,10,13,10,9,10,16,10,12
Gene_386,11,7,14,11,16,10,9,11,10,17,9,11,16,6,14,6,9,6,8,14,11,2,8,9,6,8,8,7,12,11,13,7,11,8,14,13,8,10,11,15,9,13,7,7,13,16,12,10,5,9
Gene_387,6,13,13,7,10,9,13,11,14,8,9,9,12,11,9,8,8,12,9,8,16,7,5,7,9,7,8,7,12,7,13,11,9,9,15,8,13,10,7,12,9,12,12,8,12,11,9,14,7,8
Gene_388,8,10,8,9,13,9,9,10,14,10,7,12,14,3,5,12,8,11,7,6,14,7,11,10,7,5,11,8,7,10,8,9,11,7,17,12,5,13,9,8,6,7,14,3,12,13,15,7,14,11
Gene_389,9,12,13,14,13,15,8,10,7,17,10,9,9,7,8,9,7,7,11,9,13,8,6,13,12,14,9,6,7,5,15,7,11,12,13,6,13,13,12,8,5,7,18,8,8,4,10,10,13,13
Gene_390,11,6,10,7,6,10,11,11,13,8,9,9,10,11,6,12,11,11,7,6,14,9,19,16,10,17,10,6,9,6,8,7,8,3,15,5,8,10,7,12,12,10,13,10,1,7,8,12,14,9
Gene_391,9,18,5,5,7,8,15,14,17,12,8,18,10,12,5,17,9,9,15,8,9,12,15,8,11,10,14,5,7,10,15,6,15,19,9,7,14,3,8,7,12,10,7,7,13,10,5,11,11,7
Gene_392,7,10,17,14,9,12,12,7,9,12,6,12,10,14,9,12,5,6,4,17,5,9,17,11,15,9,7,6,8,10,16,10,6,7,7,7,10,14,13,6,7,10,8,15,11,8,10,10,11,9
Gene_393,13,8,9,8,12,9,14,8,5,6,10,7,6,9,6,11,11,11,10,7,8,12,12,6,15,9,11,7,11,11,15,6,7,6,7,11,10,9,17,15,13,7,16,16,8,12,16,7,12,11
Gene_394,13,11,9,9,6,9,9,21,8,11,8,15,10,17,16,9,9,6,7,7,5,16,10,15,7,12,8,13,9,9,8,10,14,12,11,19,7,10,15,8,5,15,3,8,18,12,14,10,15,10
Gene_395,11,16,9,11,11,8,9,13,6,9,10,8,14,10,14,10,11,12,14,10,14,6,23,12,11,10,13,4,10,10,12,10,10,15,7,14,12,12,8,9,10,6,16,7,11,13,12,16,14,7
Gene_396,10,12,8,16,7,8,11,5,8,10,8,5,14,10,7,7,11,12,7,10,10,8,17,12,6,10,8,14,7,13,6,8,7,4,4,11,8,15,12,15,4,10,10,15,7,8,13,14,8,4
Gene_397,15,6,8,5,16,9,7,8,11,13,8,13,9,8,13,12,9,15,6,13,9,12,10,13,6,10,6,11,10,9,20,5,12,8,14,9,11,11,10,15,7,11,10,8,9,14,11,12,14,12
Gene_398,9,14,16,9,2,9,7,10,10,10,13,12,16,10,8,14,7,13,3,11,14,18,10,4,9,6,6,11,7,13,16,9,9,6,4,10,7,8,10,10,18,9,11,12,8,8,8,11,12,13
Gene_399,6,7,6,9,11,9,14,6,11,14,9,14,18,9,8,8,9,15,4,10,6,12,12,8,7,10,10,9,6,9,10,10,6,11,4,10,12,7,17,9,8,20,7,15,14,10,14,11,14,5
Gene_400,17,7,13,7,9,13,9,7,10,11,13,8,7,8,11,11,14,8,10,10,5,9,8,10,12,13,8,16,7,10,15,8,13,8,5,7,8,14,6,9,5,13,10,10,8,7,10,12,6,10
Gene_401,6,11,10,7,7,11,6,9,6,11,13,13,5,12,12,15,8,12,9,9,7,7,14,7,12,8,8,8,8,15,8,11,10,13,3,6,9,7,14,11,15,13,18,9,10,12,5,15,6,3
Gene_402,12,12,10,11,10,12,13,8,8,14,14,8,7,9,10,14,6,5,11,14,12,10,10,12,11,9,10,5,13,9,11,13,18,18,13,12,9,8,4,4,7,5,3,6,8,10,2,12,5,10
Gene_403,14,9,8,13,8,6,6,11,9,6,12,10,16,6,7,11,10,7,6,10,11,9,9,9,13,6,11,12,12,11,12,6,3,9,7,8,9,12,9,8,11,3,5,9,7,11,9,9,11,7
Gene_404,10,9,9,8,10,6,15,9,11,10,10,11,10,10,8,6,9,7,10,11,7,9,7,8,17,6,6,7,9,7,16,11,17,7,11,8,8,15,17,12,22,12,9,9,12,14,9,12,6,13
Gene_405,4,12,8,12,15,13,12,15,10,9,3,17,13,8,12,5,6,8,10,9,14,8,8,10,12,12,10,13,7,13,7,7,10,8,16,5,8,9,14,12,11,11,10,9,4,8,9,7,7,20
Gene_406,11,8,8,9,8,15,6,5,8,7,10,6,10,13,9,12,16,15,5,9,6,10,7,8,10,6,8,7,12,5,10,5,5,7,6,6,13,7,13,5,8,4,9,6,16,16,10,9,15,4
Gene_407,6,13,12,14,14,10,6,9,10,13,6,5,8,16,10,16,6,9,11,10,13,9,8,7,14,9,9,4,16,11,7,14,11,14,12,14,8,7,9,8,10,11,10,12,10,13,11,5,11,8
Gene_408,9,9,10,15,6,6,14,13,14,13,5,14,8,11,9,7,14,5,14,5,8,11,6,11,15,12,8,12,13,9,11,10,9,9,15,18,7,8,14,12,13,10,11,5,7,8,11,8,4,13
Gene_409,10,11,11,10,13,10,10,9,11,12,12,10,14,10,11,16,8,12,12,14,10,4,8,11,9,12,11,16,9,5,10,15,8,8,10,14,10,17,6,6,9,10,18,11,9,9,11,10,14,10
Gene_410,8,15,19,10,7,15,6,8,8,11,5,8,9,12,12,11,11,7,4,11,21,15,11,11,6,11,8,5,9,12,12,13,10,11,12,10,9,5,13,7,9,8,5,7,18,9,11,11,15,7
Gene_411,9,5,9,13,11,6,11,14,8,11,9,13,8,16,12,11,4,11,6,11,11,8,13,8,8,9,11,8,3,8,11,9,7,10,5,10,11,12,15,15,10,13,13,17,4,10,13,7,7,7
Gene_412,8,12,5,12,6,16,4,8,13,19,9,8,8,10,8,8,14,15,11,8,16,9,9,12,8,6,8,11,15,8,7,12,10,13,10,11,11,7,16,9,11,10,13,10,8,8,6,4,7,16
Gene_413,10,10,10,16,10,10,3,6,9,16,7,12,11,8,9,8,17,7,16,7,5,11,8,8,8,11,7,9,11,10,12,5,9,9,10,8,10,10,10,13,10,7,11,10,10,8,13,16,13,5
Gene_414,9,10,8,11,9,11,7,13,11,6,10,11,9,9,12,11,3,6,14,11,7,14,10,14,10,6,15,9,10,7,12,12,20,8,8,12,6,10,4,14,9,11,9,7,11,13,8,13,9,11
Gene_415,10,14,9,8,13,16,9,10,13,12,14,7,8,11,7,9,12,8,13,10,8,7,8,11,14,8,15,9,8,15,6,14,7,10,9,12,11,10,9,12,7,9,9,7,10,10,5,13,17,11
Gene_416,11,12,11,7,11,11,8,6,8,17,2,15,9,8,12,13,10,12,16,14,9,15,10,10,7,15,13,10,9,9,9,9,10,8,10,5,9,8,8,14,12,13,14,6,12,7,9,13,12,6
Gene_417,11,10,21,16,7,12,9,17,13,8,10,10,13,8,12,8,9,9,8,7,13,13,6,11,9,9,12,9,13,13,7,9,7,11,9,15,11,10,10,8,10,9,9,8,15,10,17,10,8,13
Gene_418,12,13,9,12,10,11,13,13,14,8,13,14,8,7,10,18,13,12,8,6,14,12,11,7,9,12,6,10,11,8,8,8,16,11,12,12,10,8,11,10,12,12,8,18,17,10,11,13,6,9
Gene_419,13,12,5,5,7,17,14,17,15,7,8,9,12,3,5,16,12,12,15,2,8,10,4,2,13,10,11,10,10,12,11,12,13,11,14,8,11,4,11,12,10,8,9,10,7,6,5,14,6,8
Gene_420,12,9,11,11,11,15,9,9,10,4,14,10,10,6,10,11,17,12,8,13,7,14,8,11,12,13,9,6,9,10,5,14,6,7,9,6,14,13,13,13,7,9,10,7,13,3,8,14,7,9
Gene_421,11,14,8,11,7,7,10,11,7,9,15,5,11,16,7,16,10,8,11,4,7,11,5,14,7,8,10,12,12,8,11,11,10,15,16,12,11,14,15,11,8,15,16,5,14,9,15,7,18,18
Gene_422,9,12,21,10,8,12,8,8,9,11,14,13,18,11,4,6,10,12,12,6,9,11,2,13,15,12,11,12,7,12,8,6,9,7,10,3,6,16,10,12,10,12,9,6,6,21,14,16,8,3
Gene_423,15,11,12,10,7,17,10,6,8,16,5,8,6,14,9,17,7,13,6,9,10,9,6,4,6,9,10,5,11,11,9,8,12,8,11,3,5,13,13,6,4,6,11,13,9,13,16,12,13,10
Gene_424,9,10,11,14,12,10,10,12,9,8,10,6,10,13,10,14,7,17,12,12,8,9,10,7,16,12,11,11,9,12,11,11,13,16,13,10,6,11,8,17,7,15,19,10,13,9,10,15,11,3
Gene_425,12,14,7,13,16,12,8,6,10,9,13,7,12,6,11,10,9,12,8,13,8,11,6,13,10,6,6,13,10,16,14,15,7,10,10,4,13,3,12,10,11,14,12,6,11,7,11,13,6,8
Gene_426,12,9,11,6,9,12,9,18,8,12,9,6,14,13,6,19,8,10,12,6,10,8,9,10,22,8,12,17,4,8,10,12,5,13,7,7,11,9,13,8,7,17,11,10,7,7,9,7,11,11
Gene_427,5,12,11,7,5,10,15,8,8,10,14,6,10,10,14,6,7,14,15,12,10,11,9,11,6,12,10,11,12,9,9,11,7,14,12,16,14,11,8,8,8,10,10,7,9,13,17,11,16,10
Gene_428,14,10,10,11,10,10,12,14,10,8,6,6,11,19,10,11,13,7,13,12,13,9,7,9,11,10,7,9,10,10,15,8,13,18,10,7,8,8,7,12,13,8,7,6,5,10,8,16,10,13
Gene_429,17,8,12,15,11,8,13,13,6,5,15,7,11,8,12,8,12,3,10,9,8,11,8,11,12,10,11,13,10,14,8,18,10,3,6,5,9,8,9,12,14,7,10,13,17,7,14,10,5,12
Gene_430,10,5,8,9,14,15,14,11,20,14,16,14,17,6,9,6,4,16,9,11,9,8,9,5,10,10,11,9,10,10,6,8,9,9,11,7,5,12,7,8,8,7,10,6,9,12,6,10,11,14
Gene_431,11,8,9,8,10,12,10,5,6,8,7,18,12,6,8,9,5,13,9,8,5,9,14,6,6,9,11,10,6,10,17,5,9,10,12,12,16,7,10,8,14,14,13,7,9,12,16,9,8,7
Gene_432,12,9,9,12,11,8,8,14,10,9,9,7,14,8,7,6,12,6,14,10,9,7,6,6,11,11,8,7,9,9,9,12,8,8,4,9,13,9,16,6,11,14,9,10,11,11,13,9,12,10
Gene_433,9,5,14,13,9,12,8,11,14,12,8,12,14,12,7,19,10,14,23,12,6,5,5,6,7,8,7,9,7,11,12,16,14,14,6,6,3,11,14,8,7,12,6,12,4,16,11,11,4,9
Gene_434,8,10,9,10,9,9,5,6,7,9,7,5,6,10,9,10,5,9,6,10,12,4,8,11,14,14,8,8,9,3,14,7,12,12,5,15,9,13,11,7,8,6,10,7,9,6,6,12,8,9
Gene_435,7,10,11,6,15,11,9,8,8,14,8,12,10,4,7,10,8,9,7,8,4,10,5,11,9,9,7,8,8,8,6,12,14,12,10,14,11,6,12,5,13,8,5,15,7,7,5,10,4,17
Gene_436,12,12,7,15,14,12,13,11,13,9,9,7,8,9,9,4,8,7,10,9,7,13,9,11,9,4,14,7,5,14,10,9,13,8,8,7,11,6,11,6,6,7,11,6,10,11,8,15,15,12
Gene_437,8,13,10,11,6,6,10,15,5,8,11,3,9,5,9,20,11,8,5,15,7,10,12,10,7,9,16,9,6,8,11,5,4,11,10,7,12,13,12,16,12,3,14,12,12,11,14,7,8,9
Gene_438,11,8,12,14,9,6,10,11,10,7,11,12,15,6,5,12,13,9,7,5,16,9,5,5,8,6,6,12,10,9,13,10,10,10,10,12,12,9,10,15,8,14,10,10,14,16,10,7,10,6
Gene_439,6,14,8,15,7,8,8,5,9,16,12,14,13,10,9,11,9,12,8,12,16,9,13,11,12,7,15,7,10,10,9,12,4,11,9,12,12,5,21,17,4,6,14,15,10,7,5,10,8,5
Gene_440,13,7,10,16,8,10,9,10,8,5,11,11,11,12,10,16,6,12,12,8,10,10,11,11,12,10,11,11,14,7,7,12,6,10,10,8,11,7,14,2,12,14,11,16,15,11,9,10,8,6
Gene_441,8,9,10,7,8,15,7,7,9,4,6,10,13,19,16,16,7,7,10,8,9,7,7,3,10,9,13,15,17,7,10,12,9,8,6,5,13,14,11,7,9,10,9,7,2,8,6,6,7,10
Gene_442,11,7,10,12,15,13,14,6,12,8,3,15,5,11,12,13,5,13,3,3,9,16,11,7,7,11,5,9,8,10,14,15,5,12,9,11,14,9,14,10,6,14,3,9,5,12,10,13,12,8
Gene_443,13,7,13,13,7,7,11,10,7,10,17,10,10,16,11,8,9,8,12,6,5,12,5,23,8,2,7,9,7,15,10,5,11,8,12,8,13,10,12,7,10,11,16,11,12,4,5,10,10,15
Gene_444,7,8,10,12,9,7,3,13,8,11,8,17,12,10,9,12,12,6,14,6,6,12,7,7,8,7,17,19,14,8,8,6,12,6,9,14,7,11,9,7,9,15,10,14,5,12,8,6,7,15
Gene_445,14,8,5,14,12,10,13,14,8,11,8,16,14,9,13,8,6,15,9,5,9,10,10,6,13,11,9,9,11,16,10,15,9,11,13,11,11,17,16,11,9,9,13,11,5,5,11,11,9,13
Gene_446,7,17,5,8,19,14,16,6,6,7,20,12,8,11,10,12,9,12,11,6,7,6,11,9,11,11,6,7,11,15,10,10,8,16,12,11,14,9,5,17,11,10,16,17,16,10,5,13,12,9
Gene_447,11,14,15,7,7,11,10,9,17,15,10,14,4,8,8,6,6,10,12,12,12,8,19,7,6,8,7,10,6,19,8,14,10,13,12,11,6,11,8,13,11,15,12,8,11,7,10,13,11,7
Gene_448,8,21,7,8,12,16,9,7,15,17,10,16,6,11,16,19,13,6,14,6,16,10,5,8,6,11,10,6,9,9,8,11,8,8,18,16,8,10,8,12,12,8,15,7,9,2,6,8,10,8
Gene_449,11,9,11,10,7,7,7,11,12,10,8,15,10,8,6,4,9,13,12,8,15,12,13,13,11,11,15,13,8,9,7,7,6,9,18,14,16,10,7,8,7,10,9,16,11,9,8,10,8,10
Gene_450,8,17,11,6,7,9,10,17,9,9,11,10,14,10,10,8,14,8,12,8,5,10,17,9,4,6,8,12,15,5,11,1,8,12,9,7,16,8,13,7,15,5,7,8,11,10,15,10,8,13
Gene_451,7,5,10,11,8,16,7,9,17,5,7,14,8,9,14,8,10,11,11,9,7,9,7,7,10,12,12,10,8,8,6,11,8,14,14,8,16,15,16,4,10,13,13,11,6,7,12,9,9,7
Gene_452,8,9,11,14,11,7,12,6,8,11,4,9,11,13,12,13,11,10,10,15,7,4,14,13,10,12,7,12,12,7,4,11,6,11,8,9,8,9,12,7,10,5,7,12,4,13,9,6,3,16
Gene_453,11,12,9,11,13,11,11,9,10,7,7,6,10,5,8,11,11,10,5,14,10,4,10,16,12,5,13,13,15,10,11,6,12,11,12,11,10,9,11,13,15,11,13,6,11,4,10,8,11,4
Gene_454,11,11,14,15,4,7,17,5,9,8,9,12,8,5,11,9,5,14,11,9,10,11,6,15,10,10,14,8,12,9,8,8,14,9,6,10,7,10,7,11,7,8,8,7,9,9,11,11,11,13
Gene_455,10,12,8,8,9,11,13,9,8,9,16,11,7,10,6,6,14,11,7,10,7,11,7,11,9,12,6,14,7,16,12,8,11,10,11,9,12,12,13,5,11,6,8,12,10,8,13,10,11,10
Gene_456,10,8,10,13,13,6,11,8,12,6,13,14,12,8,8,8,14,14,13,9,4,8,10,7,8,10,11,11,12,6,13,12,12,7,13,15,14,9,14,11,9,6,18,15,5,11,9,7,7,10
Gene_457,8,6,16,8,12,7,12,8,9,9,16,7,11,12,11,9,7,9,9,12,15,11,10,10,12,9,11,13,7,5,7,4,9,20,13,15,13,10,6,8,9,10,11,13,8,10,9,9,12,5
Gene_458,10,8,6,14,9,10,10,6,9,12,14,6,9,6,4,9,11,4,7,8,4,5,15,10,15,13,11,12,8,13,4,5,7,11,7,8,9,18,9,17,20,11,8,10,15,10,9,13,8,11
Gene_459,8,8,12,7,13,8,20,6,11,18,15,9,8,5,12,12,12,4,8,13,10,12,5,10,11,4,5,13,10,6,10,11,12,15,8,12,14,7,5,10,15,12,13,6,3,11,9,9,14,13
Gene_460,8,8,15,15,8,6,9,9,10,7,9,7,12,12,9,2,7,8,10,5,7,5,14,4,8,10,12,5,18,5,12,10,7,6,6,11,9,9,8,11,6,17,10,7,11,13,12,9,9,11
Gene_461,12,9,9,12,9,12,12,13,8,9,7,8,15,15,9,9,7,6,13,15,7,9,15,13,9,6,17,13,8,8,9,12,8,14,6,7,4,12,8,9,11,9,11,6,10,6,9,13,3,11
Gene_462,12,13,5,11,12,8,9,13,11,14,12,11,13,1,16,9,8,10,3,8,9,5,12,9,12,6,7,7,7,11,6,3,7,6,9,12,11,15,10,9,9,9,7,10,5,5,14,8,16,8
Gene_463,11,12,11,4,8,16,15,15,9,10,8,10,10,4,11,11,8,9,8,6,10,6,13,9,6,14,13,7,14,11,9,11,11,10,14,9,11,12,14,13,11,17,7,6,11,7,8,10,17,8
Gene_464,3,7,10,15,15,8,12,6,11,6,18,10,9,9,11,13,8,12,13,5,15,5,13,13,11,13,6,6,10,17,12,9,8,18,8,3,8,9,12,17,4,11,8,12,3,5,12,6,9,8
Gene_465,11,10,6,4,11,14,10,9,11,14,9,9,10,8,9,7,16,10,6,11,8,12,13,7,9,8,11,6,17,11,7,12,10,11,19,9,10,8,13,8,14,10,18,14,11,6,19,10,9,10
Gene_466,15,15,8,9,8,7,8,14,8,12,19,8,5,11,13,11,15,11,10,8,15,7,16,6,9,8,12,8,9,8,8,5,14,6,17,9,13,11,12,16,11,9,10,9,13,6,5,9,9,5
Gene_467,8,11,7,5,12,8,16,11,8,13,12,8,10,10,11,7,10,10,12,10,12,7,7,6,7,11,14,7,3,13,13,13,12,12,13,11,9,12,9,11,9,9,16,13,10,16,7,7,6,11
Gene_468,8,7,5,13,4,9,19,6,10,7,17,15,11,10,8,10,14,14,12,11,13,8,10,9,10,11,10,5,10,11,12,16,7,8,7,8,7,12,12,23,10,8,6,5,7,12,9,12,6,10
Gene_469,6,10,10,7,8,8,18,11,7,7,8,6,3,10,7,10,15,10,13,14,8,14,6,7,10,9,16,10,8,7,8,13,8,17,15,11,10,7,7,7,10,9,7,11,7,19,12,9,14,11
Gene_470,7,14,13,9,10,20,14,11,9,11,13,7,9,11,14,11,16,9,13,10,11,14,8,12,16,10,14,12,12,7,9,10,9,6,15,18,11,5,12,10,14,6,9,12,12,12,10,5,13,13
Gene_471,7,5,10,12,10,15,13,14,10,12,6,5,12,8,13,7,5,11,9,8,6,10,15,10,7,12,10,9,11,9,9,10,6,9,10,9,13,7,11,14,7,12,9,8,12,8,13,10,18,13
Gene_472,10,12,6,10,14,11,7,9,10,20,9,12,8,10,7,7,15,11,8,13,13,9,11,9,14,7,12,13,5,9,9,16,6,14,13,9,7,9,14,4,7,7,12,9,11,9,13,8,15,8
Gene_473,13,10,10,7,12,12,11,15,9,6,9,13,6,9,11,7,9,12,12,5,10,7,9,7,14,9,8,6,11,12,13,13,10,9,9,7,9,12,12,8,9,9,13,7,9,10,18,11,13,8
Gene_474,8,8,10,8,9,11,14,9,17,11,6,12,7,14,10,7,8,16,5,9,7,7,10,11,16,11,14,10,16,16,11,12,4,7,7,6,11,11,9,11,7,9,16,15,8,10,8,4,6,11
Gene_475,11,8,8,9,12,8,12,10,11,5,6,7,11,8,10,13,14,20,9,7,13,10,9,9,2,6,12,11,8,9,13,7,10,9,12,14,8,3,10,11,10,21,6,6,7,8,11,11,11,15
Gene_476,3,10,14,13,10,7,7,4,6,7,5,13,12,16,6,7,12,9,9,6,13,8,15,18,10,5,6,7,14,12,7,7,9,9,12,10,6,10,13,12,10,15,8,10,8,5,16,10,13,11
Gene_477,11,8,9,13,11,7,7,12,6,8,14,12,12,8,12,9,5,13,6,5,9,8,14,8,15,12,13,17,9,13,9,10,12,7,15,6,15,9,11,7,11,11,6,13,6,13,7,13,5,9
Gene_478,11,7,5,5,10,17,6,10,13,8,10,9,14,11,12,3,7,13,11,4,7,10,5,6,10,15,8,7,6,4,12,6,10,11,14,12,7,7,11,7,7,8,8,10,10,16,7,9,10,11
Gene_479,11,14,3,11,5,12,6,10,17,15,8,7,8,7,7,15,8,13,19,9,12,9,13,8,7,17,9,10,10,13,6,26,4,10,10,11,15,9,1,8,10,5,4,10,12,9,7,5,12,8
Gene_480,6,7,14,5,8,5,15,17,7,7,8,11,9,10,7,6,17,9,12,4,3,12,13,13,8,18,11,7,7,11,13,9,4,13,13,7,15,9,4,9,7,18,9,16,11,13,7,10,14,10
Gene_481,9,7,18,7,16,12,15,15,9,10,8,7,9,9,14,12,7,8,8,12,2,9,16,10,11,9,12,14,13,16,14,15,19,13,12,6,11,10,8,9,9,14,4,12,13,7,8,9,7,15
Gene_482,11,9,10,11,13,10,6,8,11,9,7,6,15,13,11,8,13,11,13,11,7,5,12,13,13,9,4,13,8,18,9,10,15,7,12,9,9,8,8,17,13,7,16,10,9,5,11,7,10,14
Gene_483,11,9,7,10,12,5,11,7,13,15,7,13,7,14,7,9,7,12,6,6,12,19,13,9,12,15,9,12,9,12,6,11,7,8,9,11,12,10,16,9,13,13,7,14,8,10,13,6,10,7
Gene_484,14,7,12,5,11,11,11,9,8,7,10,8,12,11,9,9,14,14,10,12,9,3,13,14,10,7,9,11,11,8,17,14,13,12,12,11,9,6,12,14,17,12,8,9,10,10,9,10,8,12
Gene_485,11,14,11,21,9,17,13,10,7,10,8,9,6,9,8,7,9,11,18,11,5,9,12,9,9,8,10,12,9,11,9,15,8,15,12,11,10,10,6,12,7,6,6,5,5,8,10,8,4,4
Gene_486,10,7,5,11,10,6,8,8,8,5,11,7,9,11,7,10,12,9,14,6,12,6,17,14,13,14,9,7,10,4,9,13,23,8,13,10,6,10,19,7,5,12,12,6,9,13,18,9,15,15
Gene_487,9,6,10,10,14,5,19,9,6,7,9,11,8,14,9,5,11,9,5,10,11,12,8,9,8,4,8,8,10,8,11,9,9,9,10,6,8,17,9,8,11,8,10,11,10,9,4,11,10,12
Gene_488,8,11,15,19,12,6,5,7,11,5,8,12,8,10,8,7,12,11,7,5,10,6,9,9,6,8,8,12,8,8,11,12,8,6,10,16,14,18,13,7,11,8,15,4,13,10,7,9,7,4
Gene_489,12,11,8,10,12,12,6,2,14,11,12,10,8,9,15,13,9,12,16,13,9,7,12,12,9,10,9,14,12,8,10,12,13,14,10,9,7,9,12,11,12,13,12,12,15,9,12,11,6,10
Gene_490,6,6,13,9,9,9,6,12,8,10,12,9,6,15,16,18,12,3,11,11,12,6,5,9,15,10,15,11,8,10,7,8,12,4,3,10,8,5,14,15,18,12,13,10,12,4,10,6,12,9
Gene_491,10,11,9,7,15,5,12,9,10,13,10,12,7,10,13,5,9,9,9,13,14,8,9,12,8,8,7,8,14,9,10,15,10,10,8,12,9,10,12,8,19,17,15,7,14,16,16,12,3,7
Gene_492,10,19,8,8,9,15,10,14,14,10,5,13,12,9,6,9,3,7,7,14,6,9,13,6,11,9,8,3,10,7,10,8,10,5,6,11,7,11,12,12,8,3,7,7,10,11,9,10,5,11
Gene_493,12,8,8,6,16,10,15,14,17,8,5,9,8,12,16,3,12,10,16,6,13,8,8,8,5,7,18,9,10,8,15,8,9,11,9,15,12,12,12,18,7,11,9,11,12,7,7,11,11,12
Gene_494,7,13,6,11,11,11,10,15,12,14,15,7,7,10,20,8,10,9,9,10,11,10,5,12,10,11,5,10,4,12,6,11,13,7,13,18,9,13,11,10,12,7,11,11,13,13,11,14,10,6
Gene_495,12,11,14,7,8,14,6,10,12,8,8,9,8,5,7,7,19,12,12,7,8,8,11,14,12,12,12,9,11,8,10,5,13,9,5,11,16,9,11,8,8,7,10,10,9,12,13,7,3,8
Gene_496,4,16,14,8,6,10,13,7,12,17,16,10,11,7,14,10,11,7,6,10,13,6,7,10,6,11,9,6,13,6,8,9,11,9,14,7,14,10,14,20,8,10,12,8,4,4,9,6,7,9
Gene_497,9,16,12,12,5,11,11,11,10,11,10,5,12,9,13,7,8,9,11,6,12,4,12,8,12,8,8,5,11,8,14,9,13,11,10,16,6,10,6,7,12,7,9,7,11,9,8,9,16,11
Gene_498,7,3,7,5,7,12,9,18,5,4,8,6,6,7,11,9,6,7,7,4,13,8,12,12,12,5,10,9,8,14,12,6,13,7,13,7,8,11,10,11,13,14,9,13,7,5,14,11,9,10
Gene_499,7,12,11,8,16,10,12,9,8,8,5,8,8,10,12,16,12,10,7,8,10,12,8,4,17,8,8,11,5,17,8,11,16,7,13,3,12,8,15,1,8,11,15,8,11,7,22,14,8,11
Gene_500,12,8,10,11,13,14,7,12,13,9,17,12,8,11,7,12,11,8,12,7,8,11,5,6,14,11,10,9,6,7,7,7,9,14,8,7,8,9,10,10,8,11,10,8,9,20,11,14,13,16
Gene_501,4,13,11,6,10,14,15,7,12,10,12,13,11,8,18,9,13,16,13,16,10,7,10,8,10,16,9,6,14,13,8,11,19,16,10,8,10,8,1,12,12,11,6,11,13,7,9,4,10,11
Gene_502,6,4,14,16,10,16,8,8,13,9,11,9,13,13,12,16,13,6,5,8,11,8,13,17,8,6,7,4,12,10,10,11,10,11,13,7,16,11,15,17,9,15,3,12,7,8,14,13,9,12
Gene_503,10,8,12,9,8,13,13,11,12,7,11,7,11,7,11,14,8,7,4,8,9,9,11,7,11,14,8,2,7,7,15,10,14,12,11,9,21,9,11,3,7,7,9,5,16,13,14,10,10,17
Gene_504,9,7,6,8,6,11,11,6,7,5,8,14,6,17,13,8,8,6,10,9,13,8,8,10,11,12,12,11,9,8,12,8,12,12,11,8,13,10,7,7,7,13,10,11,4,12,10,11,11,5
Gene_505,6,8,6,12,9,8,13,9,13,5,12,10,14,11,10,8,8,12,9,3,6,12,10,12,10,10,13,15,11,11,8,10,12,14,8,10,5,10,9,5,12,6,8,7,12,7,11,14,10,10
Gene_506,10,11,10,7,12,8,19,1,14,9,9,9,9,11,8,4,8,5,13,12,14,11,10,14,12,4,10,9,7,13,10,9,14,6,10,6,11,10,6,6,13,8,11,9,9,9,8,6,8,5
Gene_507,9,10,9,11,9,11,10,4,11,6,9,11,12,7,10,13,14,12,9,7,9,7,8,8,6,12,9,8,13,16,11,6,17,9,12,8,8,9,8,12,9,6,14,9,8,6,9,10,9,7
Gene_508,6,11,16,8,15,11,8,11,12,16,8,11,8,12,12,8,8,13,13,15,7,15,7,10,3,13,11,7,12,6,12,9,6,9,10,8,11,4,12,7,19,10,12,8,6,8,9,9,4,7
Gene_509,9,9,14,17,10,9,4,6,12,13,8,7,11,10,6,9,9,10,16,11,10,10,6,14,11,5,15,15,12,10,12,10,16,13,7,11,12,8,11,8,11,7,9,13,9,11,10,9,11,9
Gene_510,12,7,12,8,7,9,9,5,11,9,8,5,13,10,19,9,12,12,8,10,16,9,13,11,12,21,8,7,6,8,15,2,10,9,10,7,10,10,10,16,17,9,10,14,8,8,12,10,7,11
Gene_511,9,9,4,8,7,12,13,8,7,9,7,8,9,9,10,6,14,13,10,7,13,6,10,8,9,9,9,14,12,10,8,7,3,9,9,15,9,15,7,7,11,10,15,11,8,13,10,11,9,7
Gene_512,8,10,12,8,9,8,11,9,11,6,11,15,10,5,9,7,6,17,7,12,6,17,10,11,9,16,10,5,10,15,16,4,9,9,12,3,9,10,14,9,9,5,14,9,7,5,12,6,8,14
